ip:port,status,status_for_projects,updated_time
182.71.102.215:3128,dead,unknown,2020-02-24
195.170.15.66:8080,dead,unknown,2020-02-24
220.247.174.13:60154,dead,unknown,2020-02-24
202.5.56.71:8080,dead,unknown,2020-02-24
118.137.146.95:8080,dead,unknown,2020-02-24
46.175.185.239:37293,dead,unknown,2020-02-24
54.94.166.1:3128,dead,unknown,2020-02-24
51.158.114.177:8811,dead,unknown,2020-02-24
176.197.236.190:8080,dead,unknown,2020-02-24
103.209.65.12:8080,dead,unknown,2020-02-24
184.72.245.16:80,dead,unknown,2020-02-24
195.230.130.73:41068,dead,unknown,2020-02-24
160.20.166.210:8080,dead,unknown,2020-02-24
202.166.205.78:58431,dead,unknown,2020-02-24
36.92.35.73:3128,dead,unknown,2020-02-24
118.99.118.100:8080,dead,unknown,2020-02-24
38.21.34.224:8080,dead,unknown,2020-03-03
144.91.71.141:8080,dead,unknown,2020-02-24
103.76.45.142:8080,dead,unknown,2020-02-24
36.92.146.239:8080,dead,unknown,2020-02-24
92.245.142.215:8080,dead,unknown,2020-02-24
198.50.214.17:8585,dead,unknown,2020-02-24
178.151.34.43:8080,dead,unknown,2020-02-24
83.228.74.251:32384,dead,unknown,2020-02-24
51.158.123.250:8811,dead,unknown,2020-02-24
124.122.52.2:8080,dead,unknown,2020-02-24
196.22.221.97:56035,dead,unknown,2020-02-24
45.71.68.17:8080,dead,unknown,2020-02-24
188.6.164.138:55042,dead,unknown,2020-02-24
180.183.141.129:8080,dead,unknown,2020-02-24
177.46.148.142:3128,dead,unknown,2020-02-24
163.53.185.18:8080,dead,unknown,2020-02-24
41.180.64.254:80,dead,unknown,2020-02-24
110.78.20.62:3128,dead,unknown,2020-02-24
165.16.34.2:8080,dead,unknown,2020-02-24
70.98.53.118:8080,dead,unknown,2020-02-24
202.154.190.234:8080,dead,unknown,2020-02-24
185.230.168.5:8080,dead,unknown,2020-02-24
82.200.233.4:3128,dead,unknown,2020-02-24
113.53.83.210:39695,dead,unknown,2020-02-24
128.199.121.141:3128,dead,unknown,2020-02-24
1.10.183.232:8080,dead,unknown,2020-02-24
183.89.170.7:8080,dead,unknown,2020-02-24
193.193.240.34:45944,dead,unknown,2020-02-24
191.102.94.94:8080,dead,unknown,2020-02-24
124.41.213.201:33173,dead,unknown,2020-02-24
41.0.82.166:53834,dead,unknown,2020-02-24
24.55.137.179:57545,dead,unknown,2020-02-24
159.192.240.213:8080,dead,unknown,2020-02-24
218.173.146.222:8080,dead,unknown,2020-02-24
83.56.10.201:8080,dead,unknown,2020-02-24
190.119.199.18:57333,dead,unknown,2020-02-24
,alive,unknown,2020-02-22
180.92.238.232:8080,dead,unknown,2020-02-24
73.138.75.151:8080,dead,unknown,2020-02-24
46.183.56.107:49725,dead,unknown,2020-02-24
167.86.92.144:3128,dead,unknown,2020-02-24
110.36.239.234:8080,dead,unknown,2020-02-24
77.252.26.71:36311,dead,unknown,2020-02-24
119.76.140.30:8080,dead,unknown,2020-02-24
36.90.5.97:8080,dead,unknown,2020-03-03
90.183.101.238:43511,dead,unknown,2020-02-24
41.79.16.154:8085,dead,unknown,2020-02-24
31.41.108.6:8080,dead,unknown,2020-02-24
180.189.168.66:3129,dead,unknown,2020-02-24
95.65.27.171:53899,dead,unknown,2020-02-24
36.91.212.137:8080,dead,unknown,2020-02-24
222.124.203.152:8080,dead,unknown,2020-02-24
41.139.223.242:47842,dead,unknown,2020-02-24
183.89.77.17:8080,dead,unknown,2020-02-24
202.150.151.85:3128,dead,alive,2020-02-24
36.73.65.200:8080,dead,unknown,2020-02-24
176.221.109.106:41180,dead,unknown,2020-02-24
165.22.36.112:3128,dead,unknown,2020-02-24
61.94.198.126:8080,dead,unknown,2020-02-24
85.132.70.195:3128,dead,unknown,2020-02-24
178.79.24.36:8080,dead,alive,2020-02-24
119.82.253.24:44060,dead,unknown,2020-02-24
70.165.64.33:48678,dead,unknown,2020-02-24
187.188.213.4:42925,dead,unknown,2020-02-24
5.9.31.202:3128,dead,unknown,2020-02-24
213.142.206.146:53281,dead,unknown,2020-02-24
91.126.239.175:8080,dead,unknown,2020-02-24
182.253.253.6:3129,dead,unknown,2020-02-24
5.140.212.175:22129,dead,unknown,2020-02-24
61.19.145.66:8080,dead,unknown,2020-02-24
77.70.115.104:8080,dead,unknown,2020-02-24
203.128.79.18:43227,dead,unknown,2020-02-24
51.38.34.40:3128,dead,unknown,2020-02-24
185.144.157.153:3128,dead,unknown,2020-02-24
118.174.232.106:50491,dead,unknown,2020-02-24
195.98.79.117:8080,dead,unknown,2020-02-24
118.99.76.32:8080,dead,unknown,2020-02-24
223.27.194.66:63141,dead,unknown,2020-02-24
27.76.162.123:8080,dead,unknown,2020-02-24
159.224.44.19:37190,dead,unknown,2020-02-24
223.204.65.33:8080,dead,unknown,2020-02-24
91.217.42.2:8080,dead,unknown,2020-02-24
200.60.124.109:8080,dead,unknown,2020-02-24
195.82.116.230:8080,dead,unknown,2020-02-24
45.186.34.133:8080,dead,unknown,2020-02-24
194.58.182.73:41258,dead,unknown,2020-03-03
163.172.146.119:8811,dead,unknown,2020-02-24
186.224.79.45:8080,dead,unknown,2020-02-24
202.166.207.58:34260,dead,unknown,2020-02-24
36.78.72.71:80,dead,unknown,2020-02-24
182.52.137.19:8080,dead,unknown,2020-02-24
165.227.35.154:3128,dead,unknown,2020-02-23
170.81.35.26:36681,dead,unknown,2020-02-23
